Temp. (°C),Sensor resistance (Ω)
45,58.6
50,59.4
55,60.3
60,61.5
65,62.2
70,63.2
75,64.1
80,65
85,66.1
90,67
95,68.1
100,69.2
105,70
110,70.5
115,71.6
120,72.4
125,73.3
130,74.4
135,75.2
140,76.2
145,77.1
150,78
155,79
160,80.1
165,81.3
170,82.9
175,82.9
180,84
185,85
190,85.8
195,86.9
200,87.9
205,88.7
210,89.6
215,90.4
220,91.4
225,92.5
230,93.4
235,94.6
240,95.6
245,96.6
250,97.8
255,98.7
260,99.8
265,100.7
270,101.6
275,102.4
280,103.5
285,104.5
290,105.4
295,106.1
300,107
305,107.9
310,108.6
315,109.7
320,110.7
325,111.6
330,112.5
335,113.3
340,114
345,115.1
350,116.1
355,116.9
360,117.7
365,118.5
370,119.5
375,120.4
380,121.5
385,122.5
390,123.5
395,124.6
400,125.7
405,126.8
410,128
415,129
420,130.1
425,131.2
430,132.2
435,132.9
440,133.6
445,134.3
450,135.3
455,136.2
460,137.2
465,138.2
470,139.6
475,141
480,141.7
